Index,Price,Open,High,Low,Vol.,Change %
1,370.75,373,373.25,369.5,137.27K,-0.94%
2,367,370.5,371,366,165.33K,-1.01%
3,365.75,365.5,365.75,365.5,-,-0.34%
4,369.5,365.5,370.5,365.5,140.54K,1.03%
5,370.25,369.25,372.5,368,136.63K,0.20%
6,368.25,369.5,369.75,367.75,114.26K,-0.54%
7,361,367.75,368.25,360.5,262.81K,-1.97%
8,367.75,361.75,369.75,361.75,220.03K,1.87%
9,368.25,368.5,368.5,368.25,-,0.14%
10,366.75,368,371.5,365.5,142.75K,-0.41%
11,364.75,366.75,368,364.25,137.33K,-0.55%
12,363.25,364.75,365.25,362.5,163.23K,-0.41%
13,366.75,363.25,371,363,304.75K,0.96%
14,371.25,366.25,373,365.25,242.63K,1.23%
15,371,371,371,371,-,-0.07%
16,374,371,374.25,369.5,191.62K,0.81%
17,373.25,373.75,374.5,372,206.08K,-0.20%
18,372.25,372.25,373.25,371,233.52K,-0.27%
19,373.5,372,379,366,432.34K,0.34%
20,369.75,372.75,374,368.25,212.42K,-1.00%
21,371.25,369,372.5,368,176.02K,0.41%
22,366.5,369.5,370.75,365.5,178.86K,-1.28%
23,367,366,368,365.75,121.77K,0.14%
24,367.5,366.75,371.75,366.5,182.15K,0.14%
25,364.75,367.25,368.75,363.25,180.97K,-0.75%
26,362.25,364.75,366.25,361.25,179.46K,-0.69%
27,361.25,362.75,363.5,361.25,146.93K,-0.28%
28,361.75,361.25,363.25,360,184.08K,0.14%
29,361.25,361.25,361.25,361.25,-,-0.14%
30,359,361,361.75,358.75,174.04K,-0.62%
31,356,359.5,360.5,355.25,331.20K,-0.84%
32,356.5,356,358.5,355.5,248.13K,0.14%
33,360.5,356.25,361.5,356,221.95K,1.12%
34,360.25,360.5,363,359,186.62K,-0.07%
35,366.5,360.75,366.75,360.5,17.99K,1.73%
36,371.25,372.75,374,369.5,7.58K,1.30%
37,374.25,370,374.25,369.5,2.93K,0.81%
38,374.25,373.5,376,372.5,2.09K,0.00%
39,372,374,374.5,369.25,2.30K,-0.60%
40,374,371.75,374.75,371.5,2.24K,0.54%
41,374.25,374.25,376,372.75,1.66K,0.07%
42,375,373.75,376.5,372.75,1.37K,0.20%
43,376.25,375.5,378,375.5,0.63K,0.33%
44,375.5,375,377.5,374,0.23K,-0.20%
45,376.75,378,379,374.25,0.36K,0.33%
46,384,384.25,386,383.25,97.62K,1.92%
47,385.5,383.75,386.5,383.25,131.88K,0.39%
48,381.75,385,385.25,381.5,107.24K,-0.97%
49,375.25,381.75,382.75,375,205.50K,-1.70%
50,378.5,375.5,379.5,374.75,138.73K,0.87%
51,377.75,378.25,379,375.25,54.84K,-0.20%
52,373.25,378.25,379.25,372.5,97.15K,-1.19%
53,374.5,373.25,376.5,373.25,96.24K,0.33%
54,375.5,374.5,377.5,374.5,89.17K,0.27%
55,375,375.5,377,372.75,91.13K,-0.13%
56,375.75,375.25,377.75,374,104.72K,0.20%
57,379.75,375.5,380.5,374.75,101.46K,1.06%
58,383,380,383.5,379.75,178.17K,0.86%
59,382.25,382.75,382.75,382,-,-0.20%
60,382.25,382.25,384,381.75,110.62K,0.00%
61,380,382.5,384.5,379,172.29K,-0.59%
62,382,380.5,383.5,380.5,192.06K,0.53%
63,376.25,381.5,382.75,376,181.39K,-1.51%
64,378.25,377,379.25,376.75,131.82K,0.53%
65,378.5,378.25,378.5,378.25,-,0.07%
66,378.5,378.5,381,377,144.74K,0.00%
67,371.25,379.5,381,371,251.26K,-1.92%
68,374,372.75,375,372.5,164.72K,0.74%
69,380,374,381.5,373.75,207.63K,1.60%
70,381.75,379.75,383,377.75,191.03K,0.46%
71,380.5,380.5,380.5,380.5,-,-0.33%
72,379,380.75,382.25,376.75,211.43K,-0.39%
73,378.75,379.5,381.75,378,127.61K,-0.07%
74,377,378.75,379.75,375.75,124.11K,-0.46%
75,380.25,377,380.5,376,134.09K,0.86%
76,379.75,380,380,379.75,-,-0.13%
77,379.75,379.5,381,378,102.14K,0.00%
78,377.25,379.75,380.75,376,187.02K,-0.66%
79,381.25,377.75,381.5,377.5,198.90K,1.06%
80,376.5,381,381.5,375.75,205.75K,-1.25%
81,378.25,376.5,380.75,376.5,151.47K,0.46%
82,378.25,378.25,378.25,378.25,-,0.00%
83,379.25,377.75,379.75,376.5,145.83K,0.26%
84,380.75,379.5,381.25,377,171.95K,0.40%
85,380,380.5,380.75,379,145.15K,-0.20%
86,376.5,379.75,380.25,376.25,259.74K,-0.92%
87,374.25,376.5,381.75,374,340.78K,-0.60%
88,374.5,374.25,374.5,374.25,-,0.07%
89,372.75,374.5,375,371.75,309.36K,-0.47%
90,378.25,373.5,378.75,373,291.26K,1.48%
91,378.75,377.5,379,376.25,243.88K,0.13%
92,374.75,378.75,379,374,225.29K,-1.06%
93,374.75,374.75,376.5,373,209.10K,0.00%
94,374.75,374.75,374.75,374.75,-,0.00%
95,375,374.75,375,374.75,-,0.07%
96,369.75,374.25,376.25,369,230.71K,-1.40%
97,370.75,371.5,373.5,368.5,310.67K,0.27%
98,375.5,371,378.5,370.5,257.19K,1.28%
99,375.25,374.75,377.75,374.5,316.66K,-0.07%
100,370.5,377.75,378.5,370,344.71K,-1.27%
101,366.25,370.75,371.25,365.5,242.77K,-1.15%
102,363.75,366,368.25,362.5,189.22K,-0.68%
103,362,363.75,364.75,361.25,23.51K,-0.48%
104,364,361.75,364,357.5,12.36K,0.55%
105,365,365.25,368,364.5,5.27K,0.27%
106,366,366,367.25,364.5,4.57K,0.27%
107,362.5,366,366,361,2.92K,-0.96%
108,356,362.25,362.25,355.75,2.48K,-1.79%
109,354.75,357.75,358.25,354,2.27K,-0.35%
110,352.5,357.5,357.5,353,1.75K,-0.63%
111,356.5,353.25,357.75,352.75,0.80K,1.13%
112,357.25,357.25,359.5,355,0.32K,0.21%
113,361.5,360.25,363.25,360,0.39K,1.19%
114,373.25,369.25,373.75,369,197.27K,3.25%
115,371.5,374,375.5,370.25,169.24K,-0.47%
116,371.25,372,373.75,367.75,159.38K,-0.07%
117,371.5,371.5,372.5,368.75,101.48K,0.07%
118,376.25,371,377.5,370.5,220.23K,1.28%
119,378.25,375.75,380.75,375.5,222.58K,0.53%
120,379.75,378.75,380.75,376.75,155.85K,0.40%
121,377.25,379.25,380.5,375.5,165.18K,-0.66%
122,373.75,376.75,377,372,127.92K,-0.93%
123,374,373.75,374.75,372,105.83K,0.07%
124,356.5,373.75,375,356,441.01K,-4.68%
125,361.75,356.5,363,356.5,239.35K,1.47%
126,361.5,362.25,363.5,359.25,117.19K,-0.07%
127,362.75,361.25,364.75,360.5,135.85K,0.35%
128,365.25,362.75,366.25,362.75,159.33K,0.69%
129,362.5,364.5,364.75,360.5,273.06K,-0.75%
130,360,362.25,363.5,359.5,269.56K,-0.69%
131,360,359.75,362.25,355.25,275.45K,0.00%
132,361.75,360.25,362.75,360,253.30K,0.49%
133,360,361.25,363,358.5,264.73K,-0.48%
134,361,360.25,361.5,358.5,95.87K,0.28%
135,362.75,361.25,364.25,361,208.54K,0.48%
136,359,362.5,362.5,357.25,192.35K,-1.03%
137,358.25,358.25,360,356.75,148.18K,-0.21%
138,358.5,358,359.25,357,102.30K,0.07%
139,358.5,358.5,358.5,358.5,-,0.00%
140,354.75,359,359,354.25,144.71K,-1.05%
141,351.25,354.75,355,350.25,194.77K,-0.99%
142,346.75,351,352.5,345.5,241.39K,-1.28%
143,347.5,346,351,342.25,236.88K,0.22%
144,351.25,347.25,353.5,347,166.75K,1.08%
145,352,353.25,356,351.25,250.77K,0.21%
146,353.25,352.25,354,349.25,14.38K,0.36%
147,360,353.5,360.5,353.5,8.29K,1.91%
148,362,361,362.5,358.5,4.31K,0.56%
149,363,362.25,363.25,359.5,1.65K,0.28%
150,355.75,352.5,356,349,1.71K,-2.00%
151,358,357,359.25,355,1.16K,0.63%
152,355.25,356.5,356.5,353.25,0.86K,-0.77%
153,344.5,350,350,344,0.66K,-3.03%
154,342.5,346.5,346.5,338.25,0.31K,-0.58%
155,347.5,335.5,348.25,335.5,0.29K,1.46%
156,360.5,354.25,360.75,353.5,0.20K,3.74%
157,369.5,369,380,368,336.99K,2.50%
158,379,368.75,380.75,368.75,248.51K,2.57%
159,383.25,380,384.75,380,319.50K,1.12%
160,389,386,391.5,385.75,358.73K,1.50%
161,394.25,393.25,399,391.25,451.26K,1.35%
162,394.5,393.25,396.5,386.25,291.26K,0.06%
163,389.75,394,399,387,340.12K,-1.20%
164,404.25,390.5,404.75,389.75,299.95K,3.72%
165,420.25,408,421,407.5,417.68K,3.96%
166,418.75,429.25,438,412.25,484.44K,-0.36%
167,436.25,416.5,436.75,413.25,324.91K,4.18%
168,427,435,437.5,423.25,302.17K,-2.12%
169,424.25,426.25,430.75,418.25,288.44K,-0.64%
170,425.25,435,436,421.25,306.70K,0.24%
171,414.75,424.25,424.75,412.25,231.86K,-2.47%
172,420.5,414.5,421.5,407,279.01K,1.39%
173,415.75,421,423.5,415,227.75K,-1.13%
174,415.75,413,416.5,409,279.95K,0.00%
175,427.75,415,430.25,408.25,360.32K,2.89%
176,430,427.75,434.5,424,331.36K,0.53%
177,442,429.75,442.75,429.5,402.15K,2.79%
178,453,442,457.25,441.75,312.81K,2.49%
179,454.75,458.25,464.25,450.5,279.48K,0.39%
180,449.75,455.5,458,442.75,221.47K,-1.10%
181,441,449.75,451.75,438.25,193.33K,-1.95%
182,450,441.5,450.75,436.5,198.63K,2.04%
183,442.25,452,454,441.75,251.09K,-1.72%
184,446.75,442.25,447.75,440.25,172.09K,1.02%
185,447.5,451,453,446.5,158.43K,0.17%
186,443.25,447,447.25,440.75,158.88K,-0.95%
187,440,443,445.5,438.5,141.13K,-0.73%
188,420.25,439,455,411,34.51K,-4.49%
189,412,424.25,424.75,410.25,13.48K,-1.96%
190,413.5,412.5,415.5,408.25,6.53K,0.36%
191,433,417,433.75,417,3.47K,4.72%
192,434,433,435.5,427,2.13K,0.23%
193,438.5,440.75,442.75,432,2.08K,1.04%
194,431.75,437.25,437.75,429.25,0.45K,-1.54%
195,434.25,430,434.75,428,0.49K,0.58%
196,447.75,433.25,448,433.25,0.60K,3.11%
197,449.5,447.75,457,447.75,0.27K,0.39%
198,441,459.25,460,439.75,164.47K,-1.89%
199,435.25,437.75,440.75,429,144.49K,-1.30%
200,436,435.25,441.5,431.5,125.87K,0.17%
201,424.5,435,436,423.25,156.00K,-2.64%
202,430.75,425.5,434,423.75,114.52K,1.47%
203,422.25,430.75,432.25,421,110.95K,-1.97%
204,425.5,423.75,426.5,418.25,131.11K,0.77%
205,424,425,430.5,421.5,93.16K,-0.35%
206,418.5,424,425.75,418,172.28K,-1.30%
207,414.5,418.25,419.5,413,120.75K,-0.96%
208,417,413.25,419.5,412,90.11K,0.60%
209,411.25,417,417,410.25,81.03K,-1.38%
210,400.25,410.75,413.75,400,151.79K,-2.67%
211,392.75,401.75,403,387.25,145.33K,-1.87%
212,399.5,394.75,400,393.5,90.36K,1.72%
213,405.25,400,406.75,391,109.69K,1.44%
214,404,405.75,408,400.75,113.07K,-0.31%
215,406.5,404.75,407.5,400.5,167.53K,0.62%
216,411,407.25,412,405.5,184.79K,1.11%
217,410.25,410.75,417,407.25,185.37K,-0.18%
218,385.25,409.75,410,385.25,248.13K,-6.09%
219,366,379,379,365.5,312.97K,-5.00%
220,359,366.25,370.5,358.5,185.09K,-1.91%
221,360.75,360.25,363.75,358.25,108.78K,0.49%
222,371,361.5,371.25,361.25,104.81K,2.84%
223,365,367.25,368.25,363.25,78.54K,-1.62%
224,359.5,366.5,370.25,359.25,89.47K,-1.51%
225,362.5,360,364,357,125.86K,0.83%
226,363.25,363,366.5,359,99.25K,0.21%
227,359.75,362.75,363,357.5,169.87K,-0.96%
228,358.5,358,362,357,122.54K,-0.35%
229,357,359,360,356.75,129.89K,-0.42%
230,362.75,357.25,365.5,355.25,172.93K,1.61%
231,359.75,363,369,357.5,122.79K,-0.83%
232,358,359.75,364.5,356.75,11.24K,-0.49%
233,349.75,358.75,359,349,5.34K,-2.30%
234,346,350.5,351,344.5,3.85K,-1.07%
235,346.5,346.5,349.75,346.5,1.81K,0.14%
236,342.5,347.5,348.25,341.5,1.36K,-1.15%
237,340.75,343.25,343.25,340,0.94K,-0.51%
238,348.5,344,349.5,344,0.31K,2.27%
239,348.25,349.75,349.75,344.75,0.33K,-0.07%
240,354.5,349.75,353.75,349.5,0.15K,1.79%
241,355.5,358.5,358.5,358.5,0.12K,0.28%
242,374,372,374.75,367.5,133.44K,5.20%
243,368,374,374.25,366,154.63K,-1.60%
244,371.25,367.75,372,365.75,126.83K,0.88%
245,372.75,371.5,373.75,369.5,117.07K,0.40%
246,370.75,372.75,374.5,369.5,133.00K,-0.54%
247,373.25,371.25,374.5,371,100.44K,0.67%
248,374.75,372,376,370.25,144.29K,0.40%
249,374.25,375.25,377.5,372.25,119.19K,-0.13%
250,372.5,373.5,375.75,368.25,175.42K,-0.47%
251,371.5,371.25,373,369.75,90.80K,-0.27%
252,388,372,388.25,371.5,337.25K,4.44%
253,392.5,386.75,392.75,385.25,227.07K,1.16%
254,387.75,390.5,391.75,385.5,158.92K,-1.21%
255,388.75,387,390.75,385.5,125.49K,0.26%
256,384.75,388,389,383.75,116.34K,-1.03%
257,387,387.5,387.75,385,100.42K,0.58%
258,395.75,387.5,396.5,386,200.46K,2.26%
259,394.25,395.5,397.25,393,140.85K,-0.38%
260,380.25,392.75,395,378.25,297.05K,-3.55%
261,397.75,380.75,398.75,380.5,272.44K,4.60%
262,397.75,401.25,402.5,393.25,170.71K,0.00%
263,393.25,397,398.5,392.5,143.68K,-1.13%
264,391.75,392,392.75,387.5,139.68K,-0.38%
265,394.75,391.75,397.25,391.5,141.53K,0.77%
266,391,394,395.75,389.75,122.01K,-0.95%
267,387.25,390,393.75,386.5,150.19K,-0.96%
268,388,387,392.5,385,136.69K,0.19%
269,387.75,387.75,389.5,384,117.56K,-0.06%
270,386.75,388.5,390.75,385.25,130.66K,-0.26%
271,386.75,387,390,385.75,131.68K,0.00%
272,384,386,386.5,383.25,122.79K,-0.71%
273,386.25,383.5,387.5,382,153.73K,0.59%
274,390.75,385.75,391.25,385.25,177.03K,1.17%
275,390,390.25,391,384.75,176.19K,-0.19%
276,389.25,389.25,391.75,386.25,151.94K,-0.19%
277,383.25,386.75,387.75,383,145.37K,-1.54%
