"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2018","52.30","54.38","54.38","52.00","25.76K","-4.39%"
"Oct 19, 2018","51.60","52.90","53.95","51.50","22.94K","-1.34%"
"Oct 22, 2018","53.17","52.20","53.92","51.27","20.48K","3.04%"
"Oct 23, 2018","54.52","53.75","55.40","53.38","20.80K","2.54%"
"Oct 24, 2018","57.52","55.10","57.52","55.10","22.60K","5.50%"
"Oct 25, 2018","56.77","57.92","58.45","56.35","29.84K","-1.30%"
"Oct 26, 2018","57.92","56.92","58.08","56.77","18.60K","2.03%"
"Oct 29, 2018","58.85","58.50","59.45","58.20","24.46K","1.61%"
"Oct 30, 2018","59.00","59.52","59.88","58.70","25.11K","0.25%"
"Oct 31, 2018","58.45","59.70","60.20","58.20","25.70K","-0.93%"
"Nov 01, 2018","58.20","57.83","59.08","56.75","25.97K","-0.43%"
"Nov 02, 2018","58.12","57.77","58.60","57.25","19.16K","-0.14%"
"Nov 05, 2018","57.10","57.95","59.12","56.70","22.75K","-1.75%"
"Nov 06, 2018","54.10","56.52","56.83","54.10","27.67K","-5.25%"
"Nov 07, 2018","55.52","54.40","55.75","54.00","36.72K","2.62%"
"Nov 08, 2018","55.62","55.15","55.75","54.38","35.64K","0.18%"
"Nov 09, 2018","55.80","54.80","56.10","54.23","36.56K","0.32%"
"Nov 12, 2018","56.55","55.70","57.90","55.23","32.46K","1.34%"
"Nov 13, 2018","57.30","56.35","57.40","55.60","26.81K","1.33%"
"Nov 14, 2018","57.00","56.75","58.20","56.75","21.01K","-0.52%"
"Nov 15, 2018","57.08","57.17","57.88","56.77","16.45K","0.14%"
"Nov 16, 2018","60.08","57.48","60.08","57.42","24.32K","5.26%"
"Nov 19, 2018","61.02","60.25","61.42","59.62","23.07K","1.56%"
"Nov 20, 2018","58.98","60.83","61.02","58.80","18.35K","-3.34%"
"Nov 21, 2018","58.27","58.52","58.90","58.10","8.32K","-1.20%"
"Nov 23, 2018","59.08","58.80","59.75","58.40","5.77K","1.39%"
"Nov 26, 2018","57.40","59.48","59.48","57.15","7.45K","-2.84%"
"Nov 27, 2018","57.88","57.73","58.35","56.70","8.27K","0.84%"
"Nov 28, 2018","57.95","57.80","58.40","57.30","6.02K","0.12%"
"Nov 29, 2018","58.73","58.25","59.25","58.15","9.80K","1.35%"
"Nov 30, 2018","57.88","58.70","58.80","57.77","9.65K","-1.45%"
"Dec 03, 2018","58.02","58.65","58.88","57.12","7.13K","0.24%"
"Dec 04, 2018","56.88","57.85","57.90","56.70","7.12K","-1.96%"
"Dec 05, 2018","55.85","56.60","56.60","55.80","8.37K","-1.81%"
"Dec 06, 2018","54.52","55.62","55.62","54.50","8.77K","-2.38%"
"Dec 07, 2018","54.25","54.92","55.20","54.12","8.65K","-0.50%"
"Dec 10, 2018","54.73","54.35","55.10","54.35","4.76K","0.88%"
"Dec 11, 2018","54.45","55.00","55.00","54.27","3.28K","-0.51%"
"Dec 12, 2018","54.73","54.70","54.80","54.38","2.02K","0.51%"
"Dec 13, 2018","54.80","54.83","54.88","54.50","1.94K","0.13%"
"Dec 14, 2018","64.50","65.28","66.80","64.45","18.31K","17.70%"
"Dec 17, 2018","63.83","64.33","64.40","63.02","17.37K","-1.04%"
"Dec 18, 2018","62.65","63.65","63.70","62.12","18.19K","-1.85%"
"Dec 19, 2018","62.70","62.73","63.52","62.20","12.80K","0.08%"
"Dec 20, 2018","62.38","62.50","63.42","61.80","15.89K","-0.51%"
"Dec 21, 2018","61.12","63.25","63.25","61.02","19.27K","-2.02%"
"Dec 24, 2018","60.30","61.90","61.90","60.23","14.99K","-1.34%"
"Dec 26, 2018","60.38","60.90","61.33","60.25","12.98K","0.13%"
"Dec 27, 2018","60.58","61.17","61.20","60.20","14.74K","0.33%"
"Dec 28, 2018","60.65","60.95","61.20","60.55","12.68K","0.12%"
"Dec 31, 2018","60.98","60.85","61.48","60.80","15.86K","0.54%"
"Jan 02, 2019","61.70","61.38","63.42","61.25","25.54K","1.18%"
"Jan 03, 2019","62.15","62.10","62.73","61.95","15.37K","0.73%"
"Jan 04, 2019","61.95","62.77","62.95","61.40","16.60K","-0.32%"
"Jan 07, 2019","61.90","61.95","62.15","61.25","14.09K","-0.08%"
"Jan 08, 2019","62.60","62.60","63.15","62.08","32.49K","1.13%"
"Jan 09, 2019","63.77","62.40","64.10","62.38","31.40K","1.87%"
"Jan 10, 2019","64.08","63.58","64.22","63.10","36.16K","0.49%"
"Jan 11, 2019","62.65","63.38","63.70","62.42","30.03K","-2.23%"
"Jan 14, 2019","61.85","62.65","62.73","61.40","24.99K","-1.28%"
"Jan 15, 2019","62.15","62.25","63.60","61.48","22.05K","0.49%"
"Jan 16, 2019","60.05","61.45","61.67","59.50","22.14K","-3.38%"
"Jan 17, 2019","60.85","60.08","61.20","59.12","16.57K","1.33%"
"Jan 18, 2019","61.23","61.17","62.17","61.10","15.08K","0.62%"
"Jan 22, 2019","61.48","61.73","62.02","60.85","7.87K","0.41%"
"Jan 23, 2019","60.77","61.15","61.45","60.30","10.85K","-1.15%"
"Jan 24, 2019","59.83","60.75","60.85","59.80","6.64K","-1.55%"
"Jan 25, 2019","58.38","59.38","59.40","58.05","8.51K","-2.42%"
"Jan 28, 2019","57.98","58.52","58.52","57.80","5.28K","-0.69%"
"Jan 29, 2019","57.33","57.65","57.77","57.10","8.03K","-1.12%"
"Jan 30, 2019","57.45","57.45","57.80","57.33","4.96K","0.21%"
"Jan 31, 2019","56.25","57.33","57.75","56.15","6.48K","-2.09%"
"Feb 01, 2019","56.35","56.40","56.67","56.05","3.36K","0.18%"
"Feb 04, 2019","57.38","56.40","57.70","56.15","5.32K","1.83%"
"Feb 05, 2019","56.42","57.45","57.45","56.38","4.42K","-1.67%"
"Feb 06, 2019","55.92","56.30","56.48","55.88","4.98K","-0.89%"
"Feb 07, 2019","55.27","56.02","56.02","55.20","4.37K","-1.16%"
"Feb 08, 2019","55.05","55.30","55.55","55.00","3.41K","-0.40%"
"Feb 11, 2019","55.17","55.00","55.38","54.90","2.09K","0.22%"
"Feb 12, 2019","55.17","55.27","55.38","55.10","2.89K","0.00%"
"Feb 13, 2019","55.15","55.08","55.20","55.00","1.28K","-0.04%"
"Feb 14, 2019","58.70","59.25","59.73","58.50","20.33K","6.44%"
"Feb 15, 2019","59.52","58.70","60.27","58.12","14.48K","1.40%"
"Feb 19, 2019","56.52","58.88","58.92","56.52","16.37K","-5.04%"
"Feb 20, 2019","52.98","56.27","56.40","52.25","35.56K","-6.26%"
"Feb 21, 2019","55.95","54.40","55.98","53.73","26.13K","5.61%"
"Feb 22, 2019","55.45","55.60","56.60","55.23","20.39K","-0.89%"
"Feb 25, 2019","53.90","54.85","54.90","52.75","26.86K","-2.80%"
"Feb 26, 2019","55.73","54.92","56.48","54.30","24.65K","3.40%"
"Feb 27, 2019","55.60","54.65","56.88","54.23","20.50K","-0.23%"
"Feb 28, 2019","55.88","55.45","56.62","55.20","15.31K","0.50%"
"Mar 01, 2019","56.40","55.70","57.58","55.67","23.37K","0.93%"
"Mar 04, 2019","57.33","57.38","57.80","56.83","21.65K","1.65%"
"Mar 05, 2019","57.90","57.73","58.60","57.40","17.11K","0.99%"
"Mar 06, 2019","57.08","57.67","57.73","56.60","17.42K","-1.42%"
"Mar 07, 2019","57.73","57.92","58.15","57.15","32.05K","1.14%"
"Mar 08, 2019","60.55","57.98","60.73","57.85","39.66K","4.88%"
"Mar 11, 2019","62.85","60.75","63.50","60.15","49.44K","3.80%"
"Mar 12, 2019","63.65","63.00","63.85","62.02","33.30K","1.27%"
"Mar 13, 2019","63.48","64.10","66.08","63.15","41.44K","-0.27%"
"Mar 14, 2019","65.80","63.50","65.88","63.38","20.62K","3.65%"
"Mar 15, 2019","68.80","65.80","68.80","65.42","21.35K","4.56%"
"Mar 18, 2019","71.03","69.62","71.17","67.53","20.68K","3.24%"
"Mar 19, 2019","70.83","71.25","71.83","69.90","12.96K","-0.28%"
"Mar 20, 2019","73.83","71.25","73.83","70.55","10.79K","4.24%"
"Mar 21, 2019","78.33","74.00","78.33","74.00","16.90K","6.10%"
"Mar 22, 2019","78.33","79.10","80.30","75.88","15.80K","0.00%"
"Mar 25, 2019","78.65","79.85","80.00","78.00","6.37K","0.41%"
"Mar 26, 2019","79.72","79.25","79.95","78.75","8.79K","1.36%"
"Mar 27, 2019","81.33","79.80","81.75","78.78","9.63K","2.02%"
"Mar 28, 2019","78.88","81.08","81.15","78.67","9.27K","-3.01%"
"Mar 29, 2019","77.38","78.72","80.58","76.78","8.93K","-1.90%"
"Apr 01, 2019","77.40","76.42","78.08","76.30","6.40K","0.03%"
"Apr 02, 2019","78.95","78.20","79.72","78.10","5.02K","2.00%"
"Apr 03, 2019","79.08","79.22","79.72","78.78","5.73K","0.16%"
"Apr 04, 2019","79.58","78.45","79.85","77.83","4.49K","0.63%"
"Apr 05, 2019","79.03","79.90","80.17","78.78","6.54K","-0.69%"
"Apr 08, 2019","78.60","79.03","79.03","78.42","3.34K","-0.54%"
"Apr 09, 2019","78.53","78.53","78.85","78.50","2.68K","-0.09%"
"Apr 10, 2019","78.90","78.75","79.12","78.67","2.93K","0.47%"
"Apr 11, 2019","79.22","79.33","79.35","79.12","2.14K","0.41%"
"Apr 12, 2019","89.60","87.20","89.80","85.83","0.67K","13.10%"
"Apr 15, 2019","90.08","90.12","90.60","88.75","0.40K","0.54%"
"Apr 16, 2019","88.97","90.50","91.22","88.45","0.68K","-1.23%"
"Apr 17, 2019","88.92","89.40","89.70","87.60","0.67K","-0.06%"
"Apr 18, 2019","90.20","88.75","90.35","87.70","0.55K","1.44%"
"Apr 19, 2019","96.75","96.75","96.75","96.75","-","7.26%"
"Apr 22, 2019","89.03","90.90","91.00","88.72","0.64K","-7.98%"
"Apr 23, 2019","87.83","89.00","89.80","87.67","0.59K","-1.35%"
"Apr 24, 2019","89.17","87.90","89.20","87.38","0.55K","1.53%"
"Apr 25, 2019","87.85","88.25","88.58","87.40","0.63K","-1.48%"
"Apr 26, 2019","87.00","87.70","88.85","86.83","0.36K","-0.97%"
"Apr 29, 2019","84.78","86.50","86.80","84.50","0.82K","-2.55%"
"Apr 30, 2019","84.30","84.70","85.12","83.92","0.53K","-0.57%"
"May 01, 2019","87.10","84.47","87.30","84.25","0.76K","3.32%"
"May 02, 2019","86.10","87.00","87.20","85.75","0.55K","-1.15%"
"May 03, 2019","85.35","85.53","86.00","85.30","0.28K","-0.87%"
"May 06, 2019","82.38","84.42","84.42","82.35","0.89K","-3.48%"
"May 07, 2019","83.05","82.25","83.50","81.70","0.56K","0.81%"
"May 08, 2019","83.58","82.92","83.72","82.70","0.21K","0.64%"
"May 09, 2019","83.75","83.12","83.78","82.85","0.34K","0.20%"
"May 10, 2019","83.75","83.85","83.85","83.62","0.23K","0.00%"
"May 13, 2019","83.55","83.53","83.78","83.45","0.35K","-0.24%"
"May 14, 2019","89.12","87.95","90.17","87.22","25.93K","6.67%"
"May 15, 2019","91.83","89.53","92.00","89.45","20.76K","3.04%"
"May 16, 2019","92.22","90.70","92.83","89.45","14.27K","0.42%"
"May 17, 2019","92.38","91.75","92.83","89.65","19.94K","0.17%"
"May 20, 2019","91.75","92.10","93.03","90.83","14.51K","-0.68%"
"May 21, 2019","90.10","91.55","91.67","89.92","8.55K","-1.80%"
"May 22, 2019","89.65","89.70","90.67","89.25","6.16K","-0.50%"
"May 23, 2019","89.42","89.60","89.78","88.08","7.74K","-0.26%"
"May 24, 2019","86.42","88.53","89.28","86.42","9.73K","-3.35%"
"May 28, 2019","83.97","85.80","86.38","82.70","11.24K","-2.83%"
"May 29, 2019","85.20","83.65","85.38","82.95","8.99K","1.46%"
"May 30, 2019","83.67","84.38","85.38","82.95","10.34K","-1.80%"
"May 31, 2019","81.72","83.62","84.47","81.40","7.72K","-2.33%"
"Jun 03, 2019","81.58","81.97","82.62","81.30","6.56K","-0.17%"
"Jun 04, 2019","81.12","81.78","82.03","80.85","4.62K","-0.56%"
"Jun 05, 2019","79.85","80.62","81.05","79.53","6.66K","-1.57%"
"Jun 06, 2019","79.38","79.92","81.05","79.15","5.52K","-0.59%"
"Jun 07, 2019","78.65","79.20","80.40","78.28","4.88K","-0.92%"
"Jun 10, 2019","79.28","78.67","79.50","78.65","3.65K","0.80%"
"Jun 11, 2019","79.08","78.90","79.28","78.85","3.75K","-0.25%"
"Jun 12, 2019","79.03","79.10","79.25","78.85","2.78K","-0.06%"
"Jun 13, 2019","79.22","79.15","79.35","79.03","1.74K","0.24%"
"Jun 14, 2019","81.35","83.60","84.47","80.60","20.52K","2.69%"
"Jun 17, 2019","83.05","81.05","83.28","80.53","14.61K","2.09%"
"Jun 18, 2019","81.47","83.05","83.30","81.33","15.44K","-1.90%"
"Jun 19, 2019","81.62","81.05","82.08","80.92","13.05K","0.18%"
"Jun 20, 2019","79.25","81.10","81.50","79.12","10.95K","-2.90%"
"Jun 21, 2019","76.25","79.00","79.15","76.25","12.22K","-3.79%"
"Jun 24, 2019","72.85","75.65","76.25","72.60","10.84K","-4.46%"
"Jun 25, 2019","74.40","73.50","74.90","73.10","7.39K","2.13%"
"Jun 26, 2019","73.55","73.25","74.30","72.50","6.31K","-1.14%"
"Jun 27, 2019","73.83","73.45","74.30","73.08","5.73K","0.38%"
"Jun 28, 2019","72.10","73.17","73.50","72.00","6.60K","-2.34%"
"Jul 01, 2019","72.58","72.83","72.95","72.00","5.19K","0.67%"
"Jul 02, 2019","73.72","72.78","74.35","72.70","6.33K","1.57%"
"Jul 03, 2019","73.55","73.50","74.25","73.20","4.54K","-0.23%"
"Jul 05, 2019","72.12","73.40","73.42","71.78","5.12K","-1.94%"
"Jul 08, 2019","70.08","72.12","72.25","69.92","6.56K","-2.83%"
"Jul 09, 2019","71.38","70.22","72.85","69.88","5.62K","1.86%"
"Jul 10, 2019","71.75","71.50","72.03","71.17","4.28K","0.52%"
"Jul 11, 2019","71.60","71.47","71.75","71.15","3.08K","-0.21%"
"Jul 12, 2019","71.05","71.60","71.92","71.00","3.23K","-0.77%"
"Jul 15, 2019","80.10","80.60","81.75","79.62","24.78K","12.74%"
"Jul 16, 2019","79.05","80.60","80.92","78.75","29.01K","-1.31%"
"Jul 17, 2019","82.00","79.95","82.05","79.62","23.46K","3.73%"
"Jul 18, 2019","82.78","82.53","82.95","80.60","28.09K","0.95%"
"Jul 19, 2019","83.88","82.75","84.55","82.00","17.70K","1.33%"
"Jul 22, 2019","83.22","84.30","84.40","82.30","10.86K","-0.79%"
"Jul 23, 2019","86.17","84.20","86.22","84.08","14.54K","3.54%"
"Jul 24, 2019","86.55","86.22","86.85","85.70","8.62K","0.44%"
"Jul 25, 2019","85.95","87.22","87.50","85.55","12.05K","-0.69%"
"Jul 26, 2019","86.42","86.33","86.90","85.92","6.01K","0.55%"
"Jul 29, 2019","84.42","85.72","86.05","84.35","10.71K","-2.31%"
"Jul 30, 2019","82.30","84.80","84.80","82.10","11.25K","-2.51%"
"Jul 31, 2019","79.33","82.83","82.95","79.30","12.01K","-3.61%"
"Aug 01, 2019","76.80","79.33","80.30","76.50","11.32K","-3.19%"
"Aug 02, 2019","76.28","77.47","78.22","76.17","6.99K","-0.68%"
"Aug 05, 2019","77.85","75.00","78.30","74.30","8.87K","2.06%"
"Aug 06, 2019","77.12","78.30","78.95","77.03","5.97K","-0.94%"
"Aug 07, 2019","77.72","77.55","77.95","77.12","4.87K","0.78%"
"Aug 08, 2019","77.35","77.30","77.97","77.15","4.50K","-0.48%"
"Aug 09, 2019","79.03","77.88","79.30","77.70","3.55K","2.17%"
"Aug 12, 2019","79.17","79.20","79.45","79.00","3.14K","0.18%"
"Aug 13, 2019","79.00","79.10","79.33","78.70","2.05K","-0.21%"
"Aug 14, 2019","66.78","64.85","67.28","64.60","18.70K","-15.47%"
"Aug 15, 2019","65.00","67.50","68.55","64.53","19.97K","-2.67%"
"Aug 16, 2019","62.00","65.30","66.53","62.00","18.12K","-4.62%"
"Aug 19, 2019","64.03","62.33","64.47","62.15","18.37K","3.27%"
"Aug 20, 2019","64.97","64.20","65.83","63.38","19.10K","1.47%"
"Aug 21, 2019","63.30","64.92","65.70","63.08","15.69K","-2.57%"
"Aug 22, 2019","62.30","63.00","63.33","62.08","13.73K","-1.58%"
"Aug 23, 2019","59.30","61.58","61.60","59.30","23.20K","-4.82%"
"Aug 26, 2019","63.80","60.88","63.80","60.88","25.77K","7.59%"
"Aug 27, 2019","63.23","64.25","64.40","62.40","20.41K","-0.89%"
"Aug 28, 2019","63.50","61.30","63.60","60.88","20.90K","0.43%"
"Aug 29, 2019","64.90","63.70","65.15","63.48","21.92K","2.20%"
"Aug 30, 2019","63.52","64.55","64.75","63.33","19.24K","-2.13%"
"Sep 03, 2019","66.53","64.00","66.53","64.00","26.80K","4.74%"
"Sep 04, 2019","67.12","67.12","67.40","65.78","29.07K","0.89%"
"Sep 05, 2019","66.30","66.88","68.00","65.92","24.60K","-1.22%"
"Sep 06, 2019","63.50","65.50","65.75","63.30","32.35K","-4.22%"
"Sep 09, 2019","62.60","63.00","65.12","62.27","35.79K","-1.42%"
"Sep 10, 2019","62.73","61.60","64.40","59.90","46.12K","0.21%"
"Sep 11, 2019","60.17","61.30","61.92","59.77","40.77K","-4.08%"
"Sep 12, 2019","63.17","63.17","63.17","62.20","17.29K","4.99%"
"Sep 13, 2019","66.47","64.72","66.85","63.88","38.82K","5.22%"
"Sep 16, 2019","63.62","66.03","66.03","63.17","39.41K","-4.29%"
"Sep 17, 2019","62.10","64.10","64.65","61.50","21.29K","-2.39%"
"Sep 18, 2019","62.92","62.10","63.62","62.00","11.39K","1.32%"
"Sep 19, 2019","61.40","61.70","63.00","61.23","13.24K","-2.42%"
"Sep 20, 2019","60.35","61.35","62.48","60.10","9.71K","-1.71%"
"Sep 23, 2019","60.95","60.92","62.25","60.50","8.02K","0.99%"
"Sep 24, 2019","62.00","61.50","62.23","61.12","7.73K","1.72%"
"Sep 25, 2019","64.58","62.92","65.00","62.45","15.22K","4.16%"
"Sep 26, 2019","64.22","64.50","65.08","63.83","6.09K","-0.56%"
"Sep 27, 2019","65.28","64.33","65.45","63.92","7.87K","1.65%"
"Sep 30, 2019","65.45","64.50","65.83","63.58","7.63K","0.26%"
"Oct 01, 2019","62.55","64.70","65.00","62.48","7.89K","-4.43%"
"Oct 02, 2019","62.20","62.98","63.30","61.85","6.36K","-0.56%"
"Oct 03, 2019","62.42","62.25","63.00","62.08","5.50K","0.35%"
"Oct 04, 2019","62.40","62.27","62.60","61.77","4.02K","-0.03%"
"Oct 07, 2019","60.50","61.92","61.95","60.45","6.77K","-3.04%"
"Oct 08, 2019","61.70","60.60","62.12","60.58","4.54K","1.98%"
"Oct 09, 2019","62.80","62.50","62.95","62.02","4.08K","1.78%"
"Oct 10, 2019","62.40","62.75","62.95","62.33","2.89K","-0.64%"
"Oct 11, 2019","62.92","62.80","63.05","62.50","3.83K","0.83%"
"Oct 14, 2019","69.12","70.55","70.92","68.38","17.27K","9.85%"
"Oct 15, 2019","72.12","69.12","72.12","69.12","26.15K","4.34%"
"Oct 16, 2019","70.62","71.53","72.08","69.65","24.36K","-2.08%"
"Oct 17, 2019","68.15","70.08","70.40","67.72","23.42K","-3.50%"
